Date,Open,High,Low,Close
25-02-2024,25430.45,25430.5,25292.45,25356.5
26-02-2024,25406.65,25445.7,25336.2,25383.75
27-02-2024,25416.9,25441.65,25352.25,25418.55
28-02-2024,25402.4,25482.2,25285.55,25377.55
29-02-2024,25487.05,25611.95,25376.05,25415.8
01-03-2024,25525.95,25849.25,25426.6,25790.95
02-03-2024,25872.55,25956,25847.35,25939.05
03-03-2024,25921.45,26011.55,25886.85,25940.4
04-03-2024,25899.45,26032.8,25871.35,26004.15
05-03-2024,26005.4,26250.9,25998.4,26216.05
06-03-2024,26248.25,26277.35,26151.4,26178.95
07-03-2024,26061.3,26134.7,25794.1,25810.85
08-03-2024,25788.45,25907.6,25739.2,25796.9
09-03-2024,25452.85,25639.45,25230.3,25250.1
10-03-2024,25181.9,25485.05,24966.8,25014.6
11-03-2024,25084.1,25143,24694.35,24795.75
12-03-2024,24832.2,25044,24756.8,25013.15
13-03-2024,25065.8,25234.05,24947.7,24981.95
14-03-2024,25067.05,25134.05,24979.4,24998.45
15-03-2024,24985.3,25028.65,24920.05,24964.25
16-03-2024,25023.45,25159.75,25017.5,25127.95
17-03-2024,25186.3,25212.05,25008.15,25057.35
18-03-2024,25008.55,25093.4,24908.45,24971.3
19-03-2024,25027.4,25029.5,24728.9,24749.85
20-03-2024,24664.95,24886.2,24567.65,24854.05
21-03-2024,24956.15,24978.3,24679.6,24781.1
22-03-2024,24798.65,24882,24445.8,24472.1
23-03-2024,24378.15,24604.25,24378.1,24435.5
24-03-2024,24412.7,24480.65,24341.2,24399.4
25-03-2024,24418.05,24440.25,24073.9,24180.8
26-03-2024,24251.1,24492.6,24134.9,24339.15
27-03-2024,24328.85,24484.5,24140.85,24466.85
28-03-2024,24371.45,24498.2,24307.3,24340.85
29-03-2024,24349.85,24372.45,24172.6,24205.35
30-03-2024,24302.75,24368.25,24280.2,24304.35
31-03-2024,24315.75,24316.75,23816.15,23995.35
01-04-2024,23916.5,24229.05,23842.75,24213.3
02-04-2024,24308.75,24537.6,24204.05,24484.05
03-04-2024,24489.6,24503.35,24179.05,24199.35
04-04-2024,24207.7,24276.15,24066.65,24148.2
05-04-2024,24087.25,24336.8,24004.6,24141.3
06-04-2024,24225.8,24242,23839.15,23883.45
07-04-2024,23822.45,23873.6,23509.6,23559.05
08-04-2024,23542.15,23675.9,23484.15,23532.7
09-04-2024,23605.3,23606.8,23350.4,23453.8
10-04-2024,23529.55,23780.65,23464.8,23518.5
11-04-2024,23488.45,23507.3,23263.15,23349.9
12-04-2024,23411.8,23956.1,23359,23907.25
13-04-2024,24253.55,24351.55,24135.45,24221.9
14-04-2024,24343.3,24343.3,24125.4,24194.5
15-04-2024,24204.8,24354.55,24145.65,24274.9
16-04-2024,24274.15,24345.75,23873.35,23914.15
17-04-2024,23927.15,24188.45,23927.15,24131.1
18-04-2024,24140.85,24301.7,24008.65,24276.05
19-04-2024,24367.5,24481.35,24280,24457.15
20-04-2024,24488.75,24573.2,24366.3,24467.45
21-04-2024,24539.15,24857.75,24295.55,24708.4
22-04-2024,24729.45,24751.05,24620.5,24677.8
23-04-2024,24633.9,24705,24580.05,24619
24-04-2024,24652.65,24677.8,24510.65,24610.05
25-04-2024,24620.5,24691.75,24583.85,24641.8
26-04-2024,24604.45,24675.25,24527.95,24548.7
27-04-2024,24498.35,24792.3,24180.8,24768.3
28-04-2024,24753.4,24781.25,24601.75,24668.25
29-04-2024,24584.8,24624.1,24303.45,24336
30-04-2024,24297.95,24394.45,24149.85,24198.85
01-05-2024,23877.15,24004.9,23870.3,23951.7
02-05-2024,23960.7,24065.8,23537.35,23587.5
03-05-2024,23738.2,23869.55,23647.2,23753.45
04-05-2024,23769.1,23867.65,23685.15,23727.65
05-05-2024,23775.8,23854.5,23653.6,23750.2
06-05-2024,23801.4,23938.85,23800.6,23813.4
07-05-2024,23796.9,23915.35,23599.3,23644.9
08-05-2024,23560.6,23689.85,23460.45,23644.8
09-05-2024,23637.65,23822.8,23562.8,23742.9
10-05-2024,23783,24226.7,23751.55,24188.65
11-05-2024,24196.4,24196.45,23976,24004.75
12-05-2024,24045.8,24089.95,23551.9,23616.05
13-05-2024,23679.9,23795.2,23637.8,23707.9
14-05-2024,23746.65,23751.85,23496.15,23688.95
15-05-2024,23674.75,23689.5,23503.05,23526.5
16-05-2024,23551.9,23596.6,23344.35,23431.5
17-05-2024,23195.4,23340.95,23047.25,23085.95
18-05-2024,23165.9,23264.95,23134.15,23176.05
19-05-2024,23250.45,23293.65,23146.45,23213.2
20-05-2024,23377.25,23391.65,23272.05,23311.8
21-05-2024,23277.1,23292.1,23100.35,23203.2
22-05-2024,23290.4,23391.1,23170.65,23344.75
23-05-2024,23421.65,23426.3,22976.85,23024.65
24-05-2024,23099.15,23169.55,22981.3,23155.35
25-05-2024,23128.3,23270.8,23090.65,23205.35
26-05-2024,23183.9,23347.3,23050,23092.2
27-05-2024,22940.15,23007.45,22786.9,22829.15
28-05-2024,22960.45,23137.95,22857.65,22957.25
29-05-2024,23026.75,23183.35,22976.5,23163.1
30-05-2024,23169.5,23322.05,23139.2,23249.5
